Date,Country,Rank,Artist,Track
2026-06-01,Portugal,2,Bad Bunny,BAILE INoLVIDABLE
2026-06-01,Portugal,3,Bad Bunny,NUEVAYoL
2026-06-01,Portugal,4,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Portugal,5,Bad Bunny,DtMF
2026-06-01,Greece,1,Dara,Bangaranga
2026-06-01,Greece,2,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Greece,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Greece,4,Ariana Grande,hate that i made you love me
2026-06-01,Greece,5,Toquel,€€€
2026-06-01,Ireland,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Ireland,2,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Ireland,3,Olivia Rodrigo,drop dead
2026-06-01,Ireland,4,Malcolm Todd,Earrings
2026-06-01,Ireland,5,Sam Fender,Rein Me In (with Olivia Dean)
2026-06-01,Mexico,1,BTS,SWIM
2026-06-01,Mexico,2,BTS,Hooligan
2026-06-01,Mexico,3,BTS,Body to Body
2026-06-01,Mexico,4,BTS,2.0
2026-06-01,Mexico,5,BTS,FYA
2026-06-01,Brazil,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Brazil,2,Ariana Grande,hate that i made you love me
2026-06-01,Brazil,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Brazil,4,Olivia Rodrigo,drop dead
2026-06-01,Brazil,5,Marina Sena,Lua Cheia
2026-06-01,Argentina,1,BTS,SWIM
2026-06-01,Argentina,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Argentina,3,BTS,Hooligan
2026-06-01,Argentina,4,BTS,Body to Body
2026-06-01,Argentina,5,BTS,2.0
2026-06-01,Chile,1,BTS,Hooligan
2026-06-01,Chile,2,BTS,SWIM
2026-06-01,Chile,3,BTS,Body to Body
2026-06-01,Chile,4,BTS,2.0
2026-06-01,Chile,5,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Colombia,1,BTS,SWIM
2026-06-01,Colombia,2,BTS,Hooligan
2026-06-01,Colombia,3,BTS,Body to Body
2026-06-01,Colombia,4,BTS,2.0
2026-06-01,Colombia,5,BTS,FYA
2026-06-01,Peru,1,BTS,SWIM
2026-06-01,Peru,2,BTS,Hooligan
2026-06-01,Peru,3,BTS,Body to Body
2026-06-01,Peru,4,BTS,2.0
2026-06-01,Peru,5,BTS,they don’t know ’bout us
2026-06-01,Japan,1,サカナクション,夜の踊り子
2026-06-01,Japan,2,ILLIT,IT'S ME
2026-06-01,Japan,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Japan,4,米津玄師,IRIS OUT
2026-06-01,Japan,5,LE SSERAFIM,BOOMPALA
2026-06-01,India,1,BTS,Body to Body
2026-06-01,India,2,BTS,SWIM
2026-06-01,India,3,BTS,Hooligan
2026-06-01,India,4,BTS,2.0
2026-06-01,India,5,BTS,FYA
2026-06-01,Indonesia,1,BTS,SWIM
2026-06-01,Indonesia,2,BTS,Body to Body
2026-06-01,Indonesia,3,BTS,Hooligan
2026-06-01,Indonesia,4,BTS,2.0
2026-06-01,Indonesia,5,BTS,FYA
2026-06-01,Thailand,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Thailand,2,Malcolm Todd,Earrings
2026-06-01,Thailand,3,Olivia Rodrigo,drop dead
2026-06-01,Thailand,4,Ariana Grande,hate that i made you love me
2026-06-01,Thailand,5,Maiyarap,RAIN ZONE
2026-06-01,Philippines,1,Malcolm Todd,Earrings
2026-06-01,Philippines,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Philippines,3,fitterkarma,Pag-Ibig ay Kanibalismo II
2026-06-01,Philippines,4,Olivia Rodrigo,drop dead
2026-06-01,Philippines,5,Daniel Caesar,Who Knows
2026-06-01,Malaysia,1,Malcolm Todd,Earrings
2026-06-01,Malaysia,2,Daniel Caesar,Who Knows
2026-06-01,Malaysia,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Malaysia,4,Justin Bieber,Beauty and a Beat
2026-06-01,Malaysia,5,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Singapore,1,Malcolm Todd,Earrings
2026-06-01,Singapore,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Singapore,3,Olivia Rodrigo,drop dead
2026-06-01,Singapore,4,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Singapore,5,Justin Bieber,Beauty and a Beat
2026-06-01,Ukraine,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Ukraine,2,Tame Impala,Dracula
2026-06-01,Ukraine,3,Ariana Grande,hate that i made you love me
2026-06-01,Ukraine,4,Dominic Fike,Babydoll
2026-06-01,Ukraine,5,Linkin Park,Faint
2026-06-01,Turkey,1,Manifest,Hileli
2026-06-01,Turkey,2,Manifest,Daha İyi
2026-06-01,Turkey,3,Manifest,Amatör
2026-06-01,Turkey,4,Manifest,Snap
2026-06-01,Turkey,5,Manifest,KTS
2026-06-01,South Africa,1,Drake,Janice STFU
2026-06-01,South Africa,2,Drake,Shabang
2026-06-01,South Africa,3,Malcolm Todd,Earrings
2026-06-01,South Africa,4,Olivia Rodrigo,tHe CuRe
2026-06-01,South Africa,5,Drake,NATIONAL TREASURES
2026-06-01,Egypt,1,Michael Jackson,Billie Jean
2026-06-01,Egypt,2,Michael Jackson,Chicago
2026-06-01,Egypt,3,Drake,NATIONAL TREASURES
2026-06-01,Egypt,4,Drake,Janice STFU
2026-06-01,Egypt,5,The Marías,No One Noticed
2026-06-01,Israel,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Israel,2,Dominic Fike,Babydoll
2026-06-01,Israel,3,Michael Jackson,Billie Jean
2026-06-01,Israel,4,Temper City,Self Aware
2026-06-01,Israel,5,Malcolm Todd,Earrings
2026-06-01,Saudi Arabia,1,Malcolm Todd,Earrings
2026-06-01,Saudi Arabia,2,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Saudi Arabia,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Saudi Arabia,4,Michael Jackson,Billie Jean
